CustomerID,Recency,Frequency,Monetary,CustomerSegment,ChurnRisk
12609.0,77,3,1126.85,Medium Value,Medium Risk
12610.0,22,7,2057.99,High Value,Low Risk
12611.0,51,1,1193.32,High Value,Medium Risk
12612.0,57,2,643.59,Medium Value,Medium Risk
12613.0,30,6,3218.98,High Value,Low Risk
12614.0,277,1,315.6,Low Value,High Risk
12615.0,1,4,2291.19,High Value,Low Risk
12616.0,84,5,657.25,Medium Value,Medium Risk
12617.0,28,1,352.98,Low Value,Low Risk
12618.0,21,1,177.31,Low Value,Low Risk
12619.0,15,13,3214.81,High Value,Low Risk
12620.0,14,3,1339.41,High Value,Low Risk
12621.0,1,23,13612.07,High Value,Low Risk
12622.0,231,1,180.1,Low Value,High Risk
12623.0,275,1,305.1,Low Value,High Risk
12624.0,105,2,641.13,Medium Value,High Risk
12625.0,211,3,2614.32,High Value,High Risk
12626.0,22,13,6388.35,High Value,Low Risk
12627.0,10,7,4478.53,High Value,Low Risk
12628.0,3,4,769.61,Medium Value,Low Risk
12630.0,9,2,1270.88,High Value,Low Risk
12631.0,56,1,640.5,Medium Value,Medium Risk
12633.0,58,5,2140.63,High Value,Medium Risk
12635.0,89,2,1689.18,High Value,Medium Risk
12637.0,66,10,5934.25,High Value,Medium Risk
12638.0,32,1,671.69,Medium Value,Medium Risk
12639.0,238,1,486.1,Medium Value,High Risk
12640.0,23,3,1174.58,High Value,Low Risk
12641.0,114,1,185.9,Low Value,High Risk
12642.0,24,3,1013.26,Medium Value,Low Risk
12643.0,127,6,3344.64,High Value,High Risk
12644.0,129,1,477.91,Medium Value,High Risk
12645.0,33,5,1755.38,High Value,Medium Risk
12646.0,4,2,1346.97,High Value,Low Risk
12647.0,21,13,3669.92,High Value,Low Risk
12648.0,154,1,318.05,Low Value,High Risk
12649.0,106,4,603.71,Medium Value,High Risk
12650.0,2,1,314.44,Low Value,Low Risk
12651.0,334,1,114.0,Low Value,High Risk
12652.0,321,2,914.53,Medium Value,High Risk
12653.0,148,2,2209.85,High Value,High Risk
12654.0,10,5,601.98,Medium Value,Low Risk
12656.0,16,8,3982.72,High Value,Low Risk
12657.0,10,5,1152.06,High Value,Low Risk
12658.0,18,1,686.05,Medium Value,Low Risk
12659.0,29,1,91.68,Low Value,Low Risk
12660.0,10,1,245.1,Low Value,Low Risk
12662.0,0,12,3817.08,High Value,Low Risk
12664.0,7,10,4863.88,High Value,Low Risk
12665.0,324,2,61.75,Low Value,High Risk
12666.0,358,1,-227.44,Low Value,High Risk
12667.0,57,1,620.13,Medium Value,Medium Risk
12668.0,6,6,3743.18,High Value,Low Risk
12669.0,150,4,1607.73,High Value,High Risk
12670.0,9,6,2986.15,High Value,Low Risk
12672.0,329,1,225.89999999999998,Low Value,High Risk
12673.0,4,2,610.52,Medium Value,Low Risk
12674.0,11,7,1922.26,High Value,Low Risk
12676.0,24,6,1331.39,High Value,Low Risk
12678.0,41,13,17588.26,High Value,Medium Risk
12679.0,51,9,1058.67,Medium Value,Medium Risk
12680.0,0,4,862.81,Medium Value,Low Risk
12681.0,14,27,13677.59,High Value,Low Risk
12682.0,3,31,12279.82,High Value,Low Risk
12683.0,3,20,8221.09,High Value,Low Risk
12684.0,7,7,2283.63,High Value,Low Risk
12685.0,27,6,2863.08,High Value,Low Risk
12686.0,371,1,89.14,Low Value,
12688.0,113,1,4873.8099999999995,High Value,High Risk
12689.0,25,2,1247.61,High Value,Low Risk
12690.0,205,1,389.01,Medium Value,High Risk
12691.0,27,6,1035.8,Medium Value,Low Risk
12693.0,120,6,830.96,Medium Value,High Risk
12694.0,69,2,869.67,Medium Value,Medium Risk
12695.0,6,4,582.1,Medium Value,Low Risk
12697.0,20,5,939.02,Medium Value,Low Risk
12700.0,7,6,4867.99,High Value,Low Risk
12701.0,79,2,797.71,Medium Value,Medium Risk
12702.0,19,1,219.0,Low Value,Low Risk
12703.0,63,2,274.7,Low Value,Medium Risk
12704.0,6,10,2220.84,High Value,Low Risk
12705.0,14,14,6814.24,High Value,Low Risk
12707.0,291,1,603.42,Medium Value,High Risk
12708.0,29,16,2616.32,High Value,Low Risk
12709.0,2,26,9264.1,High Value,Low Risk
12710.0,96,4,1130.57,Medium Value,High Risk
12712.0,22,17,4241.63,High Value,Low Risk
12713.0,0,1,848.55,Medium Value,Low Risk
12714.0,8,5,4708.86,High Value,Low Risk
12715.0,105,1,343.36,Low Value,High Risk
12716.0,3,2,1053.49,Medium Value,Low Risk
12717.0,150,3,980.98,Medium Value,High Risk
12718.0,70,1,238.25,Low Value,Medium Risk
12719.0,4,3,608.1,Medium Value,Low Risk
12720.0,2,29,5713.28,High Value,Low Risk
12721.0,31,7,2628.98,High Value,Medium Risk
12722.0,84,6,904.33,Medium Value,Medium Risk
12723.0,3,5,725.07,Medium Value,Low Risk
12724.0,4,4,1031.41,Medium Value,Low Risk
12725.0,370,1,427.8,Medium Value,
12726.0,27,7,2609.1,High Value,Low Risk
12727.0,10,9,3947.7,High Value,Low Risk
12728.0,70,4,836.33,Medium Value,Medium Risk
12729.0,113,1,453.01,Medium Value,High Risk
12731.0,23,14,18793.41,High Value,Low Risk
12732.0,179,1,236.26000000000002,Low Value,High Risk
12733.0,233,1,383.95,Medium Value,High Risk
12734.0,352,1,110.39999999999999,Low Value,High Risk
12735.0,314,2,779.5699999999999,Medium Value,High Risk
12736.0,332,1,234.0,Low Value,High Risk
12738.0,371,1,155.35,Low Value,
12739.0,77,2,1013.04,Medium Value,Medium Risk
12740.0,63,1,427.6,Medium Value,Medium Risk
12743.0,133,2,540.13,Medium Value,High Risk
12744.0,51,10,9120.39,High Value,Medium Risk
12747.0,1,11,4196.01,High Value,Low Risk
12748.0,0,224,28405.56,High Value,Low Risk
12749.0,3,8,3868.2,High Value,Low Risk
12750.0,128,1,275.88,Low Value,High Risk
12752.0,80,1,4366.78,High Value,Medium Risk
12753.0,3,11,21024.01,High Value,Low Risk
12754.0,235,5,2949.12,High Value,High Risk
12755.0,249,4,2203.2,High Value,High Risk
12756.0,86,1,112.07999999999998,Low Value,Medium Risk
12757.0,15,19,4205.25,High Value,Low Risk
12758.0,116,2,2791.59,High Value,High Risk
12759.0,51,3,1531.44,High Value,Medium Risk
12762.0,7,2,1898.52,High Value,Low Risk
12763.0,137,2,494.08,Medium Value,High Risk
12764.0,316,1,1693.88,High Value,High Risk
12766.0,3,7,6989.63,High Value,Low Risk
12769.0,238,1,1143.6,High Value,High Risk
12770.0,210,1,1351.45,High Value,High Risk
12772.0,59,1,892.47,Medium Value,Medium Risk
12775.0,16,6,1351.24,High Value,Low Risk
12778.0,19,7,804.23,Medium Value,Low Risk
12779.0,20,12,3868.7,High Value,Low Risk
12781.0,20,5,707.72,Medium Value,Low Risk
12782.0,4,6,2273.32,High Value,Low Risk
12783.0,1,8,1603.87,High Value,Low Risk
12784.0,8,2,532.8199999999999,Medium Value,Low Risk
12785.0,2,2,305.71,Low Value,Low Risk
12787.0,9,3,463.66,Medium Value,Low Risk
12789.0,64,1,91.85,Low Value,Medium Risk
12790.0,191,1,324.92,Low Value,High Risk
12791.0,373,1,192.60000000000002,Low Value,
12792.0,256,1,400.53999999999996,Medium Value,High Risk
12793.0,334,2,545.48,Medium Value,High Risk
12794.0,52,2,860.41,Medium Value,Medium Risk
12795.0,18,1,430.48,Medium Value,Low Risk
12797.0,359,3,194.18,Low Value,High Risk
12798.0,9,3,6977.04,High Value,Low Risk
12802.0,183,2,412.58,Medium Value,High Risk
12808.0,36,3,483.65000000000003,Medium Value,Medium Risk
12809.0,167,2,484.36,Medium Value,High Risk
12811.0,260,3,514.85,Medium Value,High Risk
12812.0,44,1,229.64000000000001,Low Value,Medium Risk
12814.0,101,1,125.92,Low Value,High Risk
12815.0,147,2,1063.46,Medium Value,High Risk
12816.0,95,2,572.2,Medium Value,High Risk
12817.0,280,1,166.04,Low Value,High Risk
12818.0,177,2,1517.88,High Value,High Risk
12820.0,2,4,942.34,Medium Value,Low Risk
12821.0,213,1,92.72,Low Value,High Risk
12822.0,70,3,918.98,Medium Value,Medium Risk
12823.0,74,5,1759.5,High Value,Medium Risk
12824.0,59,1,397.12,Medium Value,Medium Risk
12826.0,2,8,1468.1200000000001,High Value,Low Risk
12827.0,5,3,430.15000000000003,Medium Value,Low Risk
12828.0,2,6,1018.71,Medium Value,Low Risk
12829.0,321,3,253.05,Low Value,High Risk
12830.0,37,7,6748.4,High Value,Medium Risk
12831.0,261,1,215.05,Low Value,High Risk
12832.0,31,2,383.03,Medium Value,Medium Risk
12833.0,144,1,417.38,Medium Value,High Risk
12834.0,282,1,312.38,Low Value,High Risk
12836.0,58,4,2610.36,High Value,Medium Risk
12837.0,172,1,134.1,Low Value,High Risk
12838.0,33,2,671.95,Medium Value,Medium Risk
12839.0,2,16,5583.62,High Value,Low Risk
12840.0,143,6,2714.27,High Value,High Risk
12841.0,4,26,3845.63,High Value,Low Risk
12842.0,69,2,1118.99,Medium Value,Medium Risk
12843.0,65,9,1680.76,High Value,Medium Risk
12844.0,28,2,325.96000000000004,Low Value,Low Risk
12845.0,266,4,354.09,Low Value,High Risk
12847.0,21,1,843.64,Medium Value,Low Risk
12849.0,30,2,1010.29,Medium Value,Low Risk
12851.0,96,1,131.81,Low Value,High Risk
12852.0,289,2,299.75,Low Value,High Risk
12853.0,107,9,1881.7,High Value,High Risk
12854.0,78,5,1280.9,High Value,Medium Risk
12855.0,372,1,38.1,Low Value,
12856.0,7,8,2153.53,High Value,Low Risk
12857.0,210,2,1106.4,Medium Value,High Risk
12863.0,51,2,504.2,Medium Value,Medium Risk
12864.0,137,1,147.12,Low Value,High Risk
12865.0,25,3,1548.07,High Value,Low Risk
12866.0,282,1,559.12,Medium Value,High Risk
12867.0,25,10,3958.74,High Value,Low Risk
12868.0,185,6,1607.0600000000002,High Value,High Risk
12870.0,365,1,-14.899999999999999,Low Value,High Risk
12871.0,83,2,380.64,Medium Value,Medium Risk
12872.0,326,2,599.97,Medium Value,High Risk
12873.0,281,1,374.0,Medium Value,High Risk
12875.0,142,2,343.2300000000001,Low Value,High Risk
12876.0,57,2,2218.02,High Value,Medium Risk
12877.0,3,12,1535.77,High Value,Low Risk
12878.0,17,3,841.64,Medium Value,Low Risk
12879.0,44,4,552.5699999999999,Medium Value,Medium Risk
12881.0,275,1,298.0,Low Value,High Risk
12882.0,8,2,1463.04,High Value,Low Risk
12883.0,24,4,703.47,Medium Value,Low Risk
12884.0,87,1,309.05,Low Value,Medium Risk
12885.0,62,4,1158.27,High Value,Medium Risk
12886.0,67,3,1351.09,High Value,Medium Risk
12888.0,213,4,313.77,Low Value,High Risk
12890.0,23,1,376.71999999999997,Medium Value,Low Risk
12891.0,185,3,331.0,Low Value,High Risk
12893.0,30,1,176.55,Low Value,Low Risk
12895.0,41,3,347.3,Low Value,Medium Risk
12897.0,204,2,216.5,Low Value,High Risk
12901.0,8,36,16293.1,High Value,Low Risk
12902.0,264,1,138.68,Low Value,High Risk
12904.0,17,2,496.06,Medium Value,Low Risk
12906.0,11,5,2919.81,High Value,Low Risk
12908.0,58,4,246.0,Low Value,Medium Risk
12909.0,39,8,2128.83,High Value,Medium Risk
12910.0,22,8,3075.04,High Value,Low Risk
12912.0,2,5,1662.3,High Value,Low Risk
12913.0,4,5,2483.63,High Value,Low Risk
12915.0,148,2,363.65,Low Value,High Risk
12916.0,138,5,2921.15,High Value,High Risk
12917.0,127,1,594.0,Medium Value,High Risk
12919.0,7,8,1301.44,High Value,Low Risk
12920.0,16,1,162.78,Low Value,Low Risk
12921.0,3,50,16389.74,High Value,Low Risk
12922.0,160,1,405.38,Medium Value,High Risk
12923.0,63,1,172.82,Low Value,Medium Risk
12924.0,87,5,929.95,Medium Value,Medium Risk
12925.0,4,2,694.05,Medium Value,Low Risk
12928.0,34,5,2062.7000000000003,High Value,Medium Risk
12929.0,121,2,105.1,Low Value,High Risk
12930.0,77,4,409.9,Medium Value,Medium Risk
12931.0,21,20,33462.81,High Value,Low Risk
12933.0,23,4,606.28,Medium Value,Low Risk
12935.0,1,8,2156.45,High Value,Low Risk
12936.0,16,5,1012.9,Medium Value,Low Risk
12937.0,14,4,1504.27,High Value,Low Risk
12938.0,25,1,114.14,Low Value,Low Risk
12939.0,63,8,11581.8,High Value,Medium Risk
12940.0,45,4,862.44,Medium Value,Medium Risk
12942.0,130,3,675.6,Medium Value,High Risk
12943.0,300,1,-3.75,Low Value,High Risk
12944.0,35,2,604.51,Medium Value,Medium Risk
12945.0,287,1,462.95,Medium Value,High Risk
12947.0,143,11,1407.29,High Value,High Risk
12948.0,15,8,2053.7,High Value,Low Risk
12949.0,30,10,4143.02,High Value,Low Risk
12950.0,1,3,1843.0,High Value,Low Risk
12951.0,8,8,1042.07,Medium Value,Low Risk
12952.0,5,5,1382.8400000000001,High Value,Low Risk
12953.0,9,1,329.85,Low Value,Low Risk
12955.0,0,14,4734.26,High Value,Low Risk
12956.0,305,1,108.07,Low Value,High Risk
12957.0,3,12,3979.04,High Value,Low Risk
12962.0,6,2,266.39,Low Value,Low Risk
12963.0,7,9,1841.03,High Value,Low Risk
12965.0,88,1,769.8100000000001,Medium Value,Medium Risk
12966.0,9,1,160.18,Low Value,Low Risk
12967.0,2,4,1194.75,High Value,Low Risk
12968.0,111,1,135.95,Low Value,High Risk
12970.0,6,4,405.47,Medium Value,Low Risk
12971.0,3,89,10930.26,High Value,Low Risk
12974.0,197,1,144.8,Low Value,High Risk
12976.0,211,1,738.6,Medium Value,High Risk
12977.0,155,1,39.239999999999995,Low Value,High Risk
12980.0,155,12,7092.06,High Value,High Risk
12981.0,29,2,372.21999999999997,Low Value,Low Risk
12982.0,239,2,377.2,Medium Value,High Risk
12984.0,18,1,97.5,Low Value,Low Risk
12985.0,0,3,1215.6200000000001,High Value,Low Risk
12987.0,73,3,545.0,Medium Value,Medium Risk
12988.0,291,1,505.82,Medium Value,High Risk
12989.0,2,19,6854.51,High Value,Low Risk
12990.0,30,3,409.5,Medium Value,Low Risk
12991.0,22,2,503.76,Medium Value,Low Risk
12993.0,22,4,414.76,Medium Value,Low Risk
12994.0,3,5,902.22,Medium Value,Low Risk
12995.0,77,2,200.72,Low Value,Medium Risk
12997.0,21,7,1197.94,High Value,Low Risk
12999.0,195,3,455.88,Medium Value,High Risk
13000.0,106,3,534.85,Medium Value,High Risk
13001.0,3,15,9765.07,High Value,Low Risk
13002.0,317,1,120.94999999999999,Low Value,High Risk
13003.0,105,3,149.05,Low Value,High Risk
13004.0,11,22,5613.43,High Value,Low Risk
13005.0,173,3,468.95,Medium Value,High Risk
13006.0,55,1,81.57,Low Value,Medium Risk
13008.0,322,2,178.46999999999997,Low Value,High Risk
13011.0,371,1,50.550000000000004,Low Value,
13012.0,8,11,1296.6200000000001,High Value,Low Risk
13013.0,0,15,4786.99,High Value,Low Risk
13014.0,2,16,3365.43,High Value,Low Risk
13015.0,52,5,3339.64,High Value,Medium Risk
13016.0,72,3,789.89,Medium Value,Medium Risk
13017.0,6,1,204.0,Low Value,Low Risk
13018.0,15,29,7272.75,High Value,Low Risk
13021.0,3,12,2584.4,High Value,Low Risk
13023.0,63,2,689.9,Medium Value,Medium Risk
13026.0,0,8,936.15,Medium Value,Low Risk
13027.0,113,6,6912.0,High Value,High Risk
13028.0,22,3,659.68,Medium Value,Low Risk
13029.0,30,3,1247.5,High Value,Low Risk
13030.0,10,2,752.4399999999999,Medium Value,Low Risk
13032.0,38,3,996.52,Medium Value,Medium Risk
13033.0,356,1,190.55,Low Value,High Risk
13034.0,54,2,642.77,Medium Value,Medium Risk
13035.0,57,3,886.63,Medium Value,Medium Risk
13037.0,137,3,881.07,Medium Value,High Risk
13038.0,79,3,908.46,Medium Value,Medium Risk
13040.0,8,2,676.99,Medium Value,Low Risk
13043.0,253,2,471.57,Medium Value,High Risk
13044.0,290,1,560.47,Medium Value,High Risk
13045.0,98,1,305.28000000000003,Low Value,High Risk
13046.0,30,2,629.31,Medium Value,Low Risk
13047.0,31,18,3079.1,High Value,Medium Risk
13048.0,13,5,1789.41,High Value,Low Risk
13049.0,63,2,656.6800000000001,Medium Value,Medium Risk
13050.0,8,28,5684.61,High Value,Low Risk
13052.0,211,1,348.15000000000003,Low Value,High Risk
13055.0,63,4,1201.96,High Value,Medium Risk
13058.0,24,3,271.40000000000003,Low Value,Low Risk
13059.0,249,1,183.4,Low Value,High Risk
13060.0,253,1,307.53,Low Value,High Risk
13061.0,71,1,248.61,Low Value,Medium Risk
13062.0,190,1,346.98,Low Value,High Risk
13064.0,12,4,1105.59,Medium Value,Low Risk
13065.0,372,1,205.86,Low Value,
13066.0,23,3,430.9,Medium Value,Low Risk
13067.0,81,1,115.46000000000001,Low Value,Medium Risk
13068.0,9,2,344.0,Low Value,Low Risk
13069.0,0,27,3713.14,High Value,Low Risk
13070.0,191,1,228.8,Low Value,High Risk
13072.0,266,1,177.15,Low Value,High Risk
13075.0,129,1,919.61,Medium Value,High Risk
13077.0,0,4,728.02,Medium Value,Low Risk
13078.0,0,43,12432.28,High Value,Low Risk
